	time (s)	Channel 1 (V)	Channel 2 (V)
0	-0.00033	-0.9326279199999999	-0.824967
1	-0.0003298	-0.9452309999999999	-0.824967
2	-0.0003296	-0.9452309999999999	-0.824967
3	-0.0003294	-0.9326279199999999	-0.824967
4	-0.0003292	-0.92002484	-0.824967
5	-0.000329	-0.9326279199999999	-0.84696612
6	-0.0003288	-0.9326279199999999	-0.824967
7	-0.0003286	-0.9326279199999999	-0.83596656
8	-0.0003284	-0.9452309999999999	-0.83596656
9	-0.0003282	-0.9326279199999999	-0.824967
10	-0.000328	-0.92002484	-0.83596656
11	-0.0003278	-0.9326279199999999	-0.83596656
12	-0.0003276	-0.9326279199999999	-0.83596656
13	-0.0003274	-0.92002484	-0.81396744
14	-0.0003272	-0.92002484	-0.83596656
15	-0.000327	-0.92002484	-0.824967
16	-0.0003268	-0.92002484	-0.824967
17	-0.0003266	-0.92002484	-0.83596656
18	-0.0003264	-0.92002484	-0.824967
19	-0.0003262	-0.92002484	-0.83596656
20	-0.000326	-0.92002484	-0.83596656
21	-0.0003258	-0.90742176	-0.83596656
22	-0.0003256	-0.92002484	-0.824967
23	-0.0003254	-0.90742176	-0.83596656
24	-0.0003252	-0.92002484	-0.83596656
25	-0.000325	-0.90742176	-0.83596656
26	-0.0003248	-0.89481868	-0.83596656
27	-0.0003246	-0.89481868	-0.84696612
28	-0.0003244	-0.90742176	-0.83596656
29	-0.0003242	-0.90742176	-0.83596656
30	-0.000324	-0.89481868	-0.83596656
31	-0.0003238	-0.89481868	-0.83596656
32	-0.0003236	-0.89481868	-0.83596656
33	-0.0003234	-0.89481868	-0.83596656
34	-0.0003232	-0.8822156	-0.83596656
35	-0.000323	-0.89481868	-0.83596656
36	-0.0003228	-0.89481868	-0.83596656
37	-0.0003226	-0.8822156	-0.83596656
38	-0.0003224	-0.89481868	-0.83596656
39	-0.0003222	-0.8822156	-0.83596656
40	-0.000322	-0.8822156	-0.84696612
41	-0.0003218	-0.8822156	-0.83596656
42	-0.0003216	-0.8822156	-0.84696612
43	-0.0003214	-0.8696125199999999	-0.83596656
44	-0.0003212	-0.8696125199999999	-0.83596656
45	-0.000321	-0.8696125199999999	-0.84696612
46	-0.0003208	-0.8570094399999999	-0.83596656
47	-0.0003206	-0.8696125199999999	-0.84696612
48	-0.0003204	-0.8822156	-0.83596656
49	-0.0003202	-0.8696125199999999	-0.83596656
50	-0.00031999999999999997	-0.8696125199999999	-0.83596656
